,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,imdb_score,movie_titleO,combined
4725,Joe Camp,Peter Breck,Adventure Family Romance,Frances Bavier,benji,Edgar Buchanan,6.1,Benji,Joe Camp Peter Breck Frances Bavier Adventure Family Romance Edgar Buchanan
4726,Chris Kentis,Saul Stein,Adventure Biography Drama Horror Thriller,Blanchard Ryan,open water,Daniel Travis,5.7,Open Water,Chris Kentis Saul Stein Blanchard Ryan Adventure Biography Drama Horror Thriller Daniel Travis
4727,Matt Walsh,Matt Jones,Comedy,Joe Lo Truglio,high road,Abby Elliott,5.4,High Road,Matt Walsh Matt Jones Joe Lo Truglio Comedy Abby Elliott
4728,John 'Bud' Cardos,Hoke Howell,Horror Sci-Fi,Woody Strode,kingdom of the spiders,Tiffany Bolling,5.9,Kingdom of the Spiders,John 'Bud' Cardos Hoke Howell Woody Strode Horror Sci-Fi Tiffany Bolling
4729,Marilyn Agrelo,Eva Carrozza,Documentary Family Music,Heather Berman,mad hot ballroom,Paul Daggett,7.5,Mad Hot Ballroom,Marilyn Agrelo Eva Carrozza Heather Berman Documentary Family Music Paul Daggett
4730,Tom McCarthy,Joe Lo Truglio,Comedy Drama,Peter Dinklage,the station agent,Paula Garcés,7.7,The Station Agent,Tom McCarthy Joe Lo Truglio Peter Dinklage Comedy Drama Paula Garcés
4731,Brian Baugh,Sean Michael Afable,Drama,Randy Wayne,to save a life,D. David Morin,7.1,To Save a Life,Brian Baugh Sean Michael Afable Randy Wayne Drama D. David Morin
4732,Patrick Creadon,Bill Clinton,Documentary,Ken Burns,wordplay,Bob Dole,7.4,Wordplay,Patrick Creadon Bill Clinton Ken Burns Documentary Bob Dole
4733,Barry W. Blaustein,Vince McMahon,Biography Documentary Sport,Terry Funk,beyond the mat,Mick Foley,7.6,Beyond the Mat,Barry W. Blaustein Vince McMahon Terry Funk Biography Documentary Sport Mick Foley
4734,Kurt Hale,Lincoln Hoppe,Comedy Drama Romance,Kirby Heyborne,the singles ward,Daryn Tufts,6.4,The Singles Ward,Kurt Hale Lincoln Hoppe Kirby Heyborne Comedy Drama Romance Daryn Tufts
4735,Siddiq Barmak,Zubaida Sahar,Drama,Marina Golbahari,osama,Mohamad Haref Harati,7.4,Osama,Siddiq Barmak Zubaida Sahar Marina Golbahari Drama Mohamad Haref Harati
4736,Joseph Dorman,Peter Riegert,Documentary,Rachel Dratch,sholem aleichem: laughing in the darkness,Jason Kravits,6.8,Sholem Aleichem: Laughing in the Darkness,Joseph Dorman Peter Riegert Rachel Dratch Documentary Jason Kravits
4737,Greg Harrison,Ari Gold,Drama Music,Rachel True,groove,Denny Kirkwood,6.5,Groove,Greg Harrison Ari Gold Rachel True Drama Music Denny Kirkwood
4738,Kurt Hale,Big Budah,Comedy Crime Family,Kirby Heyborne,the r.m.,Curt Doussett,6.0,The R.M.,Kurt Hale Big Budah Kirby Heyborne Comedy Crime Family Curt Doussett
4739,Michael Polish,William Katt,Drama,Sasha Alexander,twin falls idaho,Jon Gries,7.3,Twin Falls Idaho,Michael Polish William Katt Sasha Alexander Drama Jon Gries
4740,Jacob Aaron Estes,Scott Mechlowicz,Crime Drama,Rory Culkin,mean creek,Trevor Morgan,7.3,Mean Creek,Jacob Aaron Estes Scott Mechlowicz Rory Culkin Crime Drama Trevor Morgan
4741,Morgan J. Freeman,Heather Matarazzo,Crime Drama Romance,Edie Falco,hurricane streets,Lynn Cohen,6.5,Hurricane Streets,Morgan J. Freeman Heather Matarazzo Edie Falco Crime Drama Romance Lynn Cohen
4742,Eric Schaeffer,Bill Duke,Comedy Romance,Peter Dinklage,never again,Michael McKean,6.0,Never Again,Eric Schaeffer Bill Duke Peter Dinklage Comedy Romance Michael McKean
4743,Neema Barnette,LisaRaye McCoy,Crime Drama Thriller,Monica Calhoun,civil brand,Clifton Powell,5.3,Civil Brand,Neema Barnette LisaRaye McCoy Monica Calhoun Crime Drama Thriller Clifton Powell
4744,Steve Buscemi,Seymour Cassel,Comedy Drama,Kevin Corrigan,lonesome jim,Mary Kay Place,6.6,Lonesome Jim,Steve Buscemi Seymour Cassel Kevin Corrigan Comedy Drama Mary Kay Place
4745,Joe Swanberg,Anna Kendrick,Comedy Drama Romance,Olivia Wilde,drinking buddies,Ti West,6.1,Drinking Buddies,Joe Swanberg Anna Kendrick Olivia Wilde Comedy Drama Romance Ti West
4746,Molly Bernstein,Ricky Jay,Documentary,David Mamet,deceptive practice: the mysteries and mentors of ricky jay,Dick Cavett,7.1,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Molly Bernstein Ricky Jay David Mamet Documentary Dick Cavett
4747,Akira Kurosawa,Minoru Chiaki,Action Adventure Drama,Takashi Shimura,seven samurai,Kamatari Fujiwara,8.7,Seven Samurai,Akira Kurosawa Minoru Chiaki Takashi Shimura Action Adventure Drama Kamatari Fujiwara
4748,Marius A. Markevicius,Greg Speirs,Documentary Sport,Tommy Sheppard,the other dream team,Mickey Hart,8.4,The Other Dream Team,Marius A. Markevicius Greg Speirs Tommy Sheppard Documentary Sport Mickey Hart
4749,Tom DiCillo,Tina Louise,Comedy Music Romance,Brad Pitt,johnny suede,Nick Cave,5.8,Johnny Suede,Tom DiCillo Tina Louise Brad Pitt Comedy Music Romance Nick Cave
4750,Justin Lin,Jake Sandvig,Comedy,Monique Gabriela Curnen,finishing the game: the search for a new bruce lee,Joe McQueen,6.2,Finishing the Game: The Search for a New Bruce Lee,Justin Lin Jake Sandvig Monique Gabriela Curnen Comedy Joe McQueen
4751,Quentin Dupieux,Jack Plotnick,Comedy Fantasy Horror,Haley Ramm,rubber,Cecelia Antoinette,5.8,Rubber,Quentin Dupieux Jack Plotnick Haley Ramm Comedy Fantasy Horror Cecelia Antoinette
4753,C. Jay Cox,Amber Benson,Comedy Romance,Tori Spelling,kiss the bride,Garrett M. Brown,5.7,Kiss the Bride,C. Jay Cox Amber Benson Tori Spelling Comedy Romance Garrett M. Brown
4754,Alex Smith,Clea DuVall,Drama Sport,Ryan Gosling,the slaughter rule,Eddie Spears,6.1,The Slaughter Rule,Alex Smith Clea DuVall Ryan Gosling Drama Sport Eddie Spears
4755,Gareth Edwards,Whitney Able,Drama Sci-Fi Thriller,Scoot McNairy,monsters,Ricky Catter,6.4,Monsters,Gareth Edwards Whitney Able Scoot McNairy Drama Sci-Fi Thriller Ricky Catter
4756,Jonathan Parker,Joanne Whalley,Drama,Keith Carradine,the californians,Illeana Douglas,5.0,The Californians,Jonathan Parker Joanne Whalley Keith Carradine Drama Illeana Douglas
4757,Sol Tryon,Ann Dowd,Comedy,Jim Gaffigan,the living wake,Matthew Cowles,6.5,The Living Wake,Sol Tryon Ann Dowd Jim Gaffigan Comedy Matthew Cowles
4758,Alex Craig Mann,Christa B. Allen,Comedy Horror,Justin Chon,detention of the dead,Max Adler,4.6,Detention of the Dead,Alex Craig Mann Christa B. Allen Justin Chon Comedy Horror Max Adler
4759,Hao Ning,Zheng Xu,Comedy Crime,Bo Huang,crazy stone,Zhonghua Chen,7.7,Crazy Stone,Hao Ning Zheng Xu Bo Huang Comedy Crime Zhonghua Chen
4760,Stephen Kijak,Jacques Brel,Biography Documentary Music,Brian Eno,scott walker: 30 century man,Damon Albarn,7.3,Scott Walker: 30 Century Man,Stephen Kijak Jacques Brel Brian Eno Biography Documentary Music Damon Albarn
4761,Marc Forster,Alan Ruck,Drama,Radha Mitchell,everything put together,Megan Mullally,6.6,Everything Put Together,Marc Forster Alan Ruck Radha Mitchell Drama Megan Mullally
4762,Andrew Niccol,Zoë Kravitz,Drama Thriller,Bruce Greenwood,good kill,Stafford Douglas,6.4,Good Kill,Andrew Niccol Zoë Kravitz Bruce Greenwood Drama Thriller Stafford Douglas
4763,Daston Kalili,Rai Alexandra,Thriller,Daston Kalili,insomnia manica,Chin-Chien Chang,5.8,Insomnia Manica,Daston Kalili Rai Alexandra Daston Kalili Thriller Chin-Chien Chang
4764,William Gazecki,Bruce Vilanch,Documentary,Carol Channing,the outrageous sophie tucker,Tony Bennett,7.2,The Outrageous Sophie Tucker,William Gazecki Bruce Vilanch Carol Channing Documentary Tony Bennett
4765,Ol Parker,Olivia Williams,Drama Romance,Jeremy Irvine,now is good,Paddy Considine,7.2,Now Is Good,Ol Parker Olivia Williams Jeremy Irvine Drama Romance Paddy Considine
4766,Michael Hoffman Jr.,John McGlothlin,Comedy Horror,Vincent Chimato,girls gone dead,Al Sapienza,3.5,Girls Gone Dead,Michael Hoffman Jr. John McGlothlin Vincent Chimato Comedy Horror Al Sapienza
4767,Patrick Gilles,Dylan Baker,History,Emma Caulfield,america is still the place,Mike Colter,7.5,America Is Still the Place,Patrick Gilles Dylan Baker Emma Caulfield History Mike Colter
4768,Georgia Hilton,Tim Abell,Action Mystery Thriller,Mike Beckingham,subconscious,Tom Stedham,2.2,Subconscious,Georgia Hilton Tim Abell Mike Beckingham Action Mystery Thriller Tom Stedham
4770,Jack Heller,Katherine Waterston,Mystery Thriller,Shaun Sipos,enter nowhere,Christopher Denham,6.6,Enter Nowhere,Jack Heller Katherine Waterston Shaun Sipos Mystery Thriller Christopher Denham
4771,Fernando Baez Mella,Christian Alvarez,Crime Drama,Manny Perez,the king of najayo,Claudette Lalí,6.9,The King of Najayo,Fernando Baez Mella Christian Alvarez Manny Perez Crime Drama Claudette Lalí
4772,Warren Sheppard,Randy Jay Burrell,Action Romance Sport,Jennifer Hale,fight to the finish,Vincent De Paul,4.0,Fight to the Finish,Warren Sheppard Randy Jay Burrell Jennifer Hale Action Romance Sport Vincent De Paul
4773,Darren Lynn Bousman,Barry Bostwick,Horror Musical,Paul Sorvino,alleluia! the devil's carnival,Terrance Zdunich,7.4,Alleluia! The Devil's Carnival,Darren Lynn Bousman Barry Bostwick Paul Sorvino Horror Musical Terrance Zdunich
4774,Justin Paul Miller,Jennifer Landa,Comedy Mystery Thriller,Mary Kate Wiles,the sound and the shadow,Felix Avitia,8.3,The Sound and the Shadow,Justin Paul Miller Jennifer Landa Mary Kate Wiles Comedy Mystery Thriller Felix Avitia
4775,Joel Paul Reisig,Joel Paul Reisig,Family,Carrie Bradstreet,rodeo girl,Yassie Hawkes,5.7,Rodeo Girl,Joel Paul Reisig Joel Paul Reisig Carrie Bradstreet Family Yassie Hawkes
4776,Catherine Gund,Sarah Callan,Action Biography Documentary Sport,Elizabeth Streb,born to fly: elizabeth streb vs. gravity,Laura Flanders,6.8,Born to Fly: Elizabeth Streb vs. Gravity,Catherine Gund Sarah Callan Elizabeth Streb Action Biography Documentary Sport Laura Flanders
4777,Luke Dye,Jeff Delaney,Family,Mike Stanley,the little ponderosa zoo,Jamison Stalsworth,5.2,The Little Ponderosa Zoo,Luke Dye Jeff Delaney Mike Stanley Family Jamison Stalsworth
4779,Michael Herz,Mark Torgl,Action Comedy Horror Sci-Fi,Patrick Kilpatrick,the toxic avenger,Pat Ryan,6.2,The Toxic Avenger,Michael Herz Mark Torgl Patrick Kilpatrick Action Comedy Horror Sci-Fi Pat Ryan
4780,Matty Rich,George T. Odom,Crime Drama,Lawrence Gilliard Jr.,straight out of brooklyn,Matty Rich,5.9,Straight Out of Brooklyn,Matty Rich George T. Odom Lawrence Gilliard Jr. Crime Drama Matty Rich
4781,Paul Greengrass,Nicholas Farrell,Drama History War,James Nesbitt,bloody sunday,Tim Pigott-Smith,7.7,Bloody Sunday,Paul Greengrass Nicholas Farrell James Nesbitt Drama History War Tim Pigott-Smith
4782,Alec Asten,Dennis L.A. White,Action,Luis Sanchez,diamond ruff,Fredro Starr,4.3,Diamond Ruff,Alec Asten Dennis L.A. White Luis Sanchez Action Fredro Starr
4783,Hans Canosa,Thomas Lennon,Comedy Drama Romance,Olivia Wilde,conversations with other women,Nora Zehetner,7.1,Conversations with Other Women,Hans Canosa Thomas Lennon Olivia Wilde Comedy Drama Romance Nora Zehetner
4784,Lloyd Kaufman,Lloyd Kaufman,Comedy Horror Musical,John Karyus,poultrygeist: night of the chicken dead,Kate Graham,6.2,Poultrygeist: Night of the Chicken Dead,Lloyd Kaufman Lloyd Kaufman John Karyus Comedy Horror Musical Kate Graham
4785,Matthew Watts,Cheyenne Jackson,Comedy Romance,Jennifer Lafleur,mutual friends,Michael Stahl-David,6.8,Mutual Friends,Matthew Watts Cheyenne Jackson Jennifer Lafleur Comedy Romance Michael Stahl-David
4786,Lloyd Bacon,Dick Powell,Comedy Musical Romance,Ginger Rogers,42nd street,George Brent,7.7,42nd Street,Lloyd Bacon Dick Powell Ginger Rogers Comedy Musical Romance George Brent
4787,Joe Kenemore,Jack Canfield,Documentary,Bob Proctor,rise of the entrepreneur: the search for a better way,Eric Worre,8.2,Rise of the Entrepreneur: The Search for a Better Way,Joe Kenemore Jack Canfield Bob Proctor Documentary Eric Worre
4788,Whit Stillman,Taylor Nichols,Comedy Drama Romance,Chris Eigeman,metropolitan,Ellia Thompson,7.5,Metropolitan,Whit Stillman Taylor Nichols Chris Eigeman Comedy Drama Romance Ellia Thompson
4789,Kay Pollak,Frida Hallgren,Comedy Drama Music Romance,Michael Nyqvist,as it is in heaven,Nils-Anders Vallgårda,7.6,As It Is in Heaven,Kay Pollak Frida Hallgren Michael Nyqvist Comedy Drama Music Romance Nils-Anders Vallgårda
4790,Eric England,Ace Marrero,Drama Horror Mystery Thriller,Jack E. Curenton,roadside,Alan Pietruszewski,4.1,Roadside,Eric England Ace Marrero Jack E. Curenton Drama Horror Mystery Thriller Alan Pietruszewski
4791,Jared Hess,Diedrich Bader,Comedy,Jon Heder,napoleon dynamite,Jon Gries,6.9,Napoleon Dynamite,Jared Hess Diedrich Bader Jon Heder Comedy Jon Gries
4792,Jeremy Saulnier,Eve Plumb,Crime Drama Thriller,Devin Ratray,blue ruin,Amy Hargreaves,7.1,Blue Ruin,Jeremy Saulnier Eve Plumb Devin Ratray Crime Drama Thriller Amy Hargreaves
4793,Oren Peli,Ashley Palmer,Horror,Micah Sloat,paranormal activity,Amber Armstrong,6.3,Paranormal Activity,Oren Peli Ashley Palmer Micah Sloat Horror Amber Armstrong
4794,Stacy Peralta,Jay Adams,Documentary Sport,Tony Alva,dogtown and z-boys,Jeff Ament,7.7,Dogtown and Z-Boys,Stacy Peralta Jay Adams Tony Alva Documentary Sport Jeff Ament
4795,Terry Gilliam,Michael Palin,Adventure Comedy Fantasy,Eric Idle,monty python and the holy grail,Terry Jones,8.3,Monty Python and the Holy Grail,Terry Gilliam Michael Palin Eric Idle Adventure Comedy Fantasy Terry Jones
4796,Richard Glatzer,Jesse Garcia,Drama,Emily Rios,quinceañera,Alicia Sixtos,7.1,Quinceañera,Richard Glatzer Jesse Garcia Emily Rios Drama Alicia Sixtos
4797,Sue Corcoran,Sue Corcoran,Comedy Fantasy Horror Musical,Tony Doupe,gory gory hallelujah,David Frederick White,4.7,Gory Gory Hallelujah,Sue Corcoran Sue Corcoran Tony Doupe Comedy Fantasy Horror Musical David Frederick White
4799,Jonathan Caouette,Jonathan Caouette,Biography Documentary,Greg Ayres,tarnation,Renee Leblanc,7.2,Tarnation,Jonathan Caouette Jonathan Caouette Greg Ayres Biography Documentary Renee Leblanc
4800,Ray Griggs,Chris Cox,Documentary,Bill Farmer,i want your money,Mike Huckabee,5.1,I Want Your Money,Ray Griggs Chris Cox Bill Farmer Documentary Mike Huckabee
4801,Matt Jackson,Paul Elia,Comedy Horror,Kane Hodder,love in the time of monsters,Alex Sanborn,5.4,Love in the Time of Monsters,Matt Jackson Paul Elia Kane Hodder Comedy Horror Alex Sanborn
4802,Lucio Fulci,David Warbeck,Horror,Catriona MacColl,the beyond,Al Cliver,6.9,The Beyond,Lucio Fulci David Warbeck Catriona MacColl Horror Al Cliver
4804,Tom Vaughan,Andrew Daly,Comedy Romance,Treat Williams,what happens in vegas,Michelle Krusiec,6.1,What Happens in Vegas,Tom Vaughan Andrew Daly Treat Williams Comedy Romance Michelle Krusiec
4805,Paul Fox,Jeff Seymour,Horror Thriller,Dov Tiefenbach,the dark hours,Gordon Currie,6.1,The Dark Hours,Paul Fox Jeff Seymour Dov Tiefenbach Horror Thriller Gordon Currie
4806,Stephen Frears,Roshan Seth,Comedy Drama Romance,Saeed Jaffrey,my beautiful laundrette,Garry Cooper,6.9,My Beautiful Laundrette,Stephen Frears Roshan Seth Saeed Jaffrey Comedy Drama Romance Garry Cooper
4807,Ari Kirschenbaum,Adam LeFevre,Drama Horror Mystery Thriller,R. Brandon Johnson,fabled,Desmond Askew,5.8,Fabled,Ari Kirschenbaum Adam LeFevre R. Brandon Johnson Drama Horror Mystery Thriller Desmond Askew
4808,Cassandra Nicolaou,Michelle Nolden,Drama Thriller,Katharine Isabelle,show me,Gabriel Hogan,6.0,Show Me,Cassandra Nicolaou Michelle Nolden Katharine Isabelle Drama Thriller Gabriel Hogan
4809,Ingmar Bergman,Ingrid Thulin,Drama,Liv Ullmann,cries & whispers,Erland Josephson,8.2,Cries & Whispers,Ingmar Bergman Ingrid Thulin Liv Ullmann Drama Erland Josephson
4810,D.W. Griffith,Mae Marsh,Drama History War,Lillian Gish,intolerance: love's struggle throughout the ages,Walter Long,8.0,Intolerance: Love's Struggle Throughout the Ages,D.W. Griffith Mae Marsh Lillian Gish Drama History War Walter Long
4811,Roger Nygard,DeForest Kelley,Documentary,Walter Koenig,trekkies,James Doohan,7.0,Trekkies,Roger Nygard DeForest Kelley Walter Koenig Documentary James Doohan
4812,Harry Beaumont,Bessie Love,Musical Romance,Anita Page,the broadway melody,Charles King,6.3,The Broadway Melody,Harry Beaumont Bessie Love Anita Page Musical Romance Charles King
4813,Sam Raimi,Betsy Baker,Fantasy Horror,Ted Raimi,the evil dead,Ellen Sandweiss,7.6,The Evil Dead,Sam Raimi Betsy Baker Ted Raimi Fantasy Horror Ellen Sandweiss
4814,Franck Khalfoun,Nora Arnezeder,Horror Thriller,America Olivo,maniac,Liane Balaban,6.1,Maniac,Franck Khalfoun Nora Arnezeder America Olivo Horror Thriller Liane Balaban
4816,Henry Alex Rubin,Joe Bishop,Documentary Sport,Mark Zupan,murderball,Andy Cohn,7.8,Murderball,Henry Alex Rubin Joe Bishop Mark Zupan Documentary Sport Andy Cohn
4817,Sam Firstenberg,Steve James,Action Drama,Michael Dudikoff,american ninja 2: the confrontation,Larry Poindexter,4.7,American Ninja 2: The Confrontation,Sam Firstenberg Steve James Michael Dudikoff Action Drama Larry Poindexter
4818,Doug Block,Ellen Block,Documentary,Carol Block,51 birch street,Mike Block,7.5,51 Birch Street,Doug Block Ellen Block Carol Block Documentary Mike Block
4820,Chad Kapper,Natalie Welch,Family Sci-Fi,Tom E. Nicholson,rotor dr1,Christian Kapper,3.4,Rotor DR1,Chad Kapper Natalie Welch Tom E. Nicholson Family Sci-Fi Christian Kapper
4822,Sidney Lumet,Lee J. Cobb,Crime Drama,Jack Warden,12 angry men,John Fiedler,8.9,12 Angry Men,Sidney Lumet Lee J. Cobb Jack Warden Crime Drama John Fiedler
4823,Paul Fierlinger,Peter Gerety,Animation Drama,Isabella Rossellini,my dog tulip,Lynn Redgrave,6.9,My Dog Tulip,Paul Fierlinger Peter Gerety Isabella Rossellini Animation Drama Lynn Redgrave
4824,Frank Capra,Alan Hale,Comedy Romance,Claudette Colbert,it happened one night,Walter Connolly,8.2,It Happened One Night,Frank Capra Alan Hale Claudette Colbert Comedy Romance Walter Connolly
4825,Yorgos Lanthimos,Mary Tsoni,Drama Thriller,Angeliki Papoulia,dogtooth,Sissy Petropoulou,7.3,Dogtooth,Yorgos Lanthimos Mary Tsoni Angeliki Papoulia Drama Thriller Sissy Petropoulou
4826,Lauren Lazin,Gary Coleman,Biography Documentary Music,James Cagney,tupac: resurrection,Todd Bridges,8.0,Tupac: Resurrection,Lauren Lazin Gary Coleman James Cagney Biography Documentary Music Todd Bridges
4827,Gavin O'Connor,Janet McTeer,Comedy Drama,Kimberly J. Brown,tumbleweeds,Lois Smith,6.7,Tumbleweeds,Gavin O'Connor Janet McTeer Kimberly J. Brown Comedy Drama Lois Smith
4828,Gregory Widen,Adam Goldberg,Action Fantasy Horror Mystery Thriller,Viggo Mortensen,the prophecy,Virginia Madsen,6.6,The Prophecy,Gregory Widen Adam Goldberg Viggo Mortensen Action Fantasy Horror Mystery Thriller Virginia Madsen
4829,Cédric Klapisch,Zinedine Soualem,Comedy Romance,Simon Abkarian,when the cat's away,Jane Bradbury,6.9,When the Cat's Away,Cédric Klapisch Zinedine Soualem Simon Abkarian Comedy Romance Jane Bradbury
4830,Peter Hedges,Adrian Martinez,Comedy Drama,Oliver Platt,pieces of april,Derek Luke,7.1,Pieces of April,Peter Hedges Adrian Martinez Oliver Platt Comedy Drama Derek Luke
4831,Niall Johnson,Mark Caven,Drama,Kevin Howarth,the big swap,Thierry Harcourt,5.6,The Big Swap,Niall Johnson Mark Caven Kevin Howarth Drama Thierry Harcourt
4832,Kelly Reichardt,Lucy,Drama,Daniel London,old joy,Will Oldham,6.7,Old Joy,Kelly Reichardt Lucy Daniel London Drama Will Oldham
4833,Kelly Reichardt,Lucy,Drama,John Robinson,wendy and lucy,Will Oldham,7.1,Wendy and Lucy,Kelly Reichardt Lucy John Robinson Drama Will Oldham
4834,Eric Mendelsohn,Edie Falco,Drama,Embeth Davidtz,3 backyards,Kathryn Erbe,5.2,3 Backyards,Eric Mendelsohn Edie Falco Embeth Davidtz Drama Kathryn Erbe
4835,Jean-Luc Godard,Anna Karina,Crime Drama Romance,Jean-Paul Belmondo,pierrot le fou,Graziella Galvani,7.7,Pierrot le Fou,Jean-Luc Godard Anna Karina Jean-Paul Belmondo Crime Drama Romance Graziella Galvani
4838,Michael Roemer,Gloria Foster,Drama Romance,Yaphet Kotto,nothing but a man,Ivan Dixon,8.1,Nothing But a Man,Michael Roemer Gloria Foster Yaphet Kotto Drama Romance Ivan Dixon
4839,Jesse Peretz,Eli Marienthal,Drama Romance,Robert John Burke,"first love, last rites",Natasha Gregson Wagner,5.5,"First Love, Last Rites",Jesse Peretz Eli Marienthal Robert John Burke Drama Romance Natasha Gregson Wagner
4840,Eddie O'Flaherty,Eddie Jones,Drama Sport,Don Wallace,fighting tommy riley,Christina Chambers,6.6,Fighting Tommy Riley,Eddie O'Flaherty Eddie Jones Don Wallace Drama Sport Christina Chambers
4841,Babar Ahmed,Alexander Wraith,Action Thriller,Lalaine,royal kill,Darren Kendrick,3.2,Royal Kill,Babar Ahmed Alexander Wraith Lalaine Action Thriller Darren Kendrick
4843,John D. Hancock,Elizabeth Stenholt,Drama Music,Trish Basinger,the looking glass,Mary Norwood,6.6,The Looking Glass,John D. Hancock Elizabeth Stenholt Trish Basinger Drama Music Mary Norwood
4844,Paul Bartel,David Carradine,Action Comedy Sci-Fi Sport,Sylvester Stallone,death race 2000,Martin Kove,6.2,Death Race 2000,Paul Bartel David Carradine Sylvester Stallone Action Comedy Sci-Fi Sport Martin Kove
4845,Bruce Dellis,Ricky Schroder,Thriller,Tatyana Ali,locker 13,Jon Polito,4.8,Locker 13,Bruce Dellis Ricky Schroder Tatyana Ali Thriller Jon Polito
4846,Pece Dingo,Wilhelm von Homburg,Horror,Michael Des Barres,midnight cabaret,Thom Mathews,4.5,Midnight Cabaret,Pece Dingo Wilhelm von Homburg Michael Des Barres Horror Thom Mathews
4847,Jerome Elston Scott,Joanna Cassidy,Comedy Drama Romance,Taran Killam,anderson's cross,Ryan Carnes,7.2,Anderson's Cross,Jerome Elston Scott Joanna Cassidy Taran Killam Comedy Drama Romance Ryan Carnes
4848,Étienne Faure,Pierre Prieur,Drama Musical Romance,Rumi Missabu,bizarre,Raquel Nave,4.3,Bizarre,Étienne Faure Pierre Prieur Rumi Missabu Drama Musical Romance Raquel Nave
4849,Herb Freed,Carmen Argenziano,Horror Mystery,Linnea Quigley,graduation day,Vanna White,4.5,Graduation Day,Herb Freed Carmen Argenziano Linnea Quigley Horror Mystery Vanna White
4850,Jack Perez,Barry Bostwick,Comedy Crime Drama Horror Mystery Thriller,Kevin Corrigan,some guy who kills people,Ahmed Best,6.4,Some Guy Who Kills People,Jack Perez Barry Bostwick Kevin Corrigan Comedy Crime Drama Horror Mystery Thriller Ahmed Best
4851,Craig Zobel,Matt Servitto,Biography Crime Drama Thriller,Dreama Walker,compliance,James McCaffrey,6.4,Compliance,Craig Zobel Matt Servitto Dreama Walker Biography Crime Drama Thriller James McCaffrey
4852,Kevin Smith,Ethan Suplee,Comedy Drama Romance,Matt Damon,chasing amy,Joey Lauren Adams,7.3,Chasing Amy,Kevin Smith Ethan Suplee Matt Damon Comedy Drama Romance Joey Lauren Adams
4853,Nicole Holofcener,Brenda Blethyn,Comedy Drama Romance,Aunjanue Ellis,lovely & amazing,Raven Goodwin,6.9,Lovely & Amazing,Nicole Holofcener Brenda Blethyn Aunjanue Ellis Comedy Drama Romance Raven Goodwin
4854,Ken Del Conte,Robert Miano,Action Adventure Mystery Romance Thriller,Hector Echavarria,death calls,Ron Roggé,4.3,Death Calls,Ken Del Conte Robert Miano Hector Echavarria Action Adventure Mystery Romance Thriller Ron Roggé
4855,Justin Lin,Jason Tobin,Crime Drama Romance,Parry Shen,better luck tomorrow,Collin Kahey,7.2,Better Luck Tomorrow,Justin Lin Jason Tobin Parry Shen Crime Drama Romance Collin Kahey
4856,Maria Maggenti,Laurel Holloman,Comedy Drama Romance,Nicole Ari Parker,the incredibly true adventure of two girls in love,Stephanie Berry,6.5,The Incredibly True Adventure of Two Girls in Love,Maria Maggenti Laurel Holloman Nicole Ari Parker Comedy Drama Romance Stephanie Berry
4857,Miguel Arteta,Mike White,Comedy Drama,Lupe Ontiveros,chuck & buck,Chris Weitz,6.6,Chuck & Buck,Miguel Arteta Mike White Lupe Ontiveros Comedy Drama Chris Weitz
4858,Piyush Dinker Pandya,Rizwan Manji,Comedy Drama Romance,Purva Bedi,american desi,Anil Kumar,6.7,American Desi,Piyush Dinker Pandya Rizwan Manji Purva Bedi Comedy Drama Romance Anil Kumar
4859,Daniel Columbie,Nicholas Simmons,Action Crime Drama,Keri Maletto,amidst the devil's wings,Barbie Castro,4.3,Amidst the Devil's Wings,Daniel Columbie Nicholas Simmons Keri Maletto Action Crime Drama Barbie Castro
4860,Vincenzo Natali,Julian Richings,Mystery Sci-Fi Thriller,David Hewlett,cube,Nicole de Boer,7.3,Cube,Vincenzo Natali Julian Richings David Hewlett Mystery Sci-Fi Thriller Nicole de Boer
4861,Emma-Kate Croghan,Frances O'Connor,Comedy Romance,Radha Mitchell,love and other catastrophes,Matt Day,6.4,Love and Other Catastrophes,Emma-Kate Croghan Frances O'Connor Radha Mitchell Comedy Romance Matt Day
4862,Bill Plympton,Bill Martone,Animation Comedy Drama Fantasy Sci-Fi,Charis Michelsen,i married a strange person!,Richard Spore,7.0,I Married a Strange Person!,Bill Plympton Bill Martone Charis Michelsen Animation Comedy Drama Fantasy Sci-Fi Richard Spore
4863,Greg Harrison,Anne Archer,Drama Mystery Thriller,Amir Talai,november,Nora Dunn,5.5,November,Greg Harrison Anne Archer Amir Talai Drama Mystery Thriller Nora Dunn
4864,Drake Doremus,Charlie Bewley,Drama Romance,Jennifer Lawrence,like crazy,Finola Hughes,6.7,Like Crazy,Drake Doremus Charlie Bewley Jennifer Lawrence Drama Romance Finola Hughes
4865,Al Franklin,Steffinnie Phrommany,Horror,Marshal Hilton,teeth and blood,Clint Jung,4.3,Teeth and Blood,Al Franklin Steffinnie Phrommany Marshal Hilton Horror Clint Jung
4866,Allison Anders,Rosanna Arquette,Comedy Music,Ally Sheedy,sugar town,John Doe,6.1,Sugar Town,Allison Anders Rosanna Arquette Ally Sheedy Comedy Music John Doe
4867,Michael Kang,Clint Jordan,Comedy Drama,Samantha Futerman,the motel,Jackie Nova,6.8,The Motel,Michael Kang Clint Jordan Samantha Futerman Comedy Drama Jackie Nova
